,ADA,BCH,BTC,DASH,ETC,ETH,LTC,MAID,MIOTA,STEEM,XEM,XMR,XRP
2016-03-01,0.0,0.0,0.875,0.0,0.0,0.064,0.02,0.005,0.0,0.0,0.0,0.0,0.035
2016-04-01,0.0,0.0,0.827,0.006,0.0,0.116,0.019,0.0,0.0,0.0,0.0,0.0,0.033
2016-05-01,0.0,0.0,0.858,0.005,0.0,0.086,0.021,0.0,0.0,0.0,0.0,0.0,0.029
2016-06-01,0.0,0.0,0.838,0.005,0.0,0.115,0.022,0.0,0.0,0.0,0.0,0.0,0.02
2016-07-01,0.0,0.0,0.872,0.0,0.0,0.084,0.016,0.0,0.0,0.0,0.009,0.0,0.019
2016-08-01,0.0,0.0,0.859,0.0,0.0,0.086,0.017,0.0,0.0,0.02,0.0,0.0,0.018
2016-09-01,0.0,0.0,0.86,0.0,0.0,0.092,0.017,0.0,0.0,0.011,0.0,0.0,0.02
2016-10-01,0.0,0.0,0.849,0.0,0.0,0.098,0.016,0.0,0.0,0.0,0.0,0.01,0.027
2016-11-01,0.0,0.0,0.882,0.0,0.006,0.074,0.015,0.0,0.0,0.0,0.0,0.0,0.023
2016-12-01,0.0,0.0,0.902,0.0,0.0,0.056,0.014,0.0,0.0,0.0,0.0,0.009,0.018
2017-01-01,0.0,0.0,0.921,0.0,0.0,0.041,0.013,0.0,0.0,0.0,0.0,0.011,0.014
2017-02-01,0.0,0.0,0.909,0.0,0.0,0.055,0.012,0.0,0.0,0.0,0.0,0.01,0.013
2017-03-01,0.0,0.0,0.903,0.011,0.0,0.067,0.009,0.0,0.0,0.0,0.0,0.0,0.01
2017-04-01,0.0,0.0,0.737,0.023,0.0,0.191,0.014,0.0,0.0,0.0,0.0,0.0,0.034
2017-05-01,0.0,0.0,0.674,0.02,0.0,0.222,0.024,0.0,0.0,0.0,0.0,0.0,0.06
2017-06-01,0.0,0.0,0.523,0.0,0.0,0.297,0.0,0.0,0.025,0.0,0.025,0.0,0.13
2017-07-01,0.0,0.0,0.499,0.0,0.021,0.332,0.025,0.0,0.0,0.0,0.0,0.0,0.123
2017-08-01,0.0,0.0,0.617,0.0,0.0,0.25,0.029,0.0,0.0,0.0,0.019,0.0,0.084
2017-09-01,0.0,0.071,0.567,0.0,0.0,0.264,0.027,0.0,0.0,0.0,0.0,0.0,0.071
2017-10-01,0.0,0.061,0.609,0.0,0.0,0.242,0.025,0.0,0.0,0.0,0.0,0.0,0.064
2017-11-01,0.0,0.048,0.694,0.0,0.0,0.189,0.019,0.0,0.0,0.0,0.0,0.0,0.05
2017-12-01,0.0,0.092,0.676,0.024,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.038
2018-01-01,0.04,0.093,0.514,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.193
2018-02-01,0.037,0.069,0.472,0.0,0.0,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.123
2018-03-01,0.0,0.063,0.538,0.0,0.0,0.257,0.034,0.0,0.0,0.0,0.0,0.0,0.108
2018-04-01,0.0,0.06,0.605,0.0,0.0,0.2,0.033,0.0,0.0,0.0,0.0,0.0,0.102
